event_id,timestamp,event_type,user_id,details,session_id
evt_20251224004327314194,2025-12-24T00:43:27.314216,chat_session_start,current_user,"{'topic': 'Veri Analizi', 'question_id': 'q_20251224_004206'}",current_session
evt_20251224005057759958,2025-12-24T00:50:57.760009,app_start,current_user,{},current_session
evt_20251224204435199839,2025-12-24T20:44:35.199868,app_start,current_user,{},current_session
evt_20251224204528425641,2025-12-24T20:45:28.425663,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20251224210635476937,2025-12-24T21:06:35.476962,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20251224235829193122,2025-12-24T23:58:29.193325,app_start,current_user,{},current_session
evt_20260102143122456096,2026-01-02T14:31:22.456120,app_start,current_user,{},current_session
evt_20260102143147148592,2026-01-02T14:31:47.148616,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105191505648395,2026-01-05T19:15:05.648433,app_start,current_user,{},current_session
evt_20260105191621584511,2026-01-05T19:16:21.584538,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105191737639515,2026-01-05T19:17:37.639542,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105192727576784,2026-01-05T19:27:27.576802,app_start,current_user,{},current_session
evt_20260105192741221541,2026-01-05T19:27:41.221566,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105194258634038,2026-01-05T19:42:58.634060,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105194710425273,2026-01-05T19:47:10.425299,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105195006501901,2026-01-05T19:50:06.501943,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105200214795121,2026-01-05T20:02:14.795145,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105200935305973,2026-01-05T20:09:35.305995,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105201322759200,2026-01-05T20:13:22.759226,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105201749967422,2026-01-05T20:17:49.967448,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105202011040753,2026-01-05T20:20:11.040776,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105202404429207,2026-01-05T20:24:04.429229,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105203555278518,2026-01-05T20:35:55.278539,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260105204437100895,2026-01-05T20:44:37.100919,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1}",current_session
evt_20260106160154978190,2026-01-06T16:01:54.978216,app_start,current_user,{},current_session
evt_20260106160224221775,2026-01-06T16:02:24.221799,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': False}",current_session
evt_20260106160357786897,2026-01-06T16:03:57.786923,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106161149587578,2026-01-06T16:11:49.587598,app_start,current_user,{},current_session
evt_20260106161205887123,2026-01-06T16:12:05.887160,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106162600641116,2026-01-06T16:26:00.641141,app_start,current_user,{},current_session
evt_20260106162612020213,2026-01-06T16:26:12.020238,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106163305594146,2026-01-06T16:33:05.594169,app_start,current_user,{},current_session
evt_20260106163318218808,2026-01-06T16:33:18.218831,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106163830124466,2026-01-06T16:38:30.124483,app_start,current_user,{},current_session
evt_20260106164011053973,2026-01-06T16:40:11.053991,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': False}",current_session
evt_20260106165244759570,2026-01-06T16:52:44.759599,app_start,current_user,{},current_session
evt_20260106165256746359,2026-01-06T16:52:56.746379,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106171642974377,2026-01-06T17:16:42.974402,app_start,current_user,{},current_session
evt_20260106171655753510,2026-01-06T17:16:55.753530,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106175358772895,2026-01-06T17:53:58.772922,app_start,current_user,{},current_session
evt_20260106175407135724,2026-01-06T17:54:07.135745,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': False}",current_session
evt_20260106175611992277,2026-01-06T17:56:11.992301,app_start,current_user,{},current_session
evt_20260106175624264305,2026-01-06T17:56:24.264335,app_start,current_user,{},current_session
evt_20260106175636150645,2026-01-06T17:56:36.150665,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106190222738036,2026-01-06T19:02:22.738079,app_start,current_user,{},current_session
evt_20260106190233439436,2026-01-06T19:02:33.439460,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106190907712627,2026-01-06T19:09:07.712650,app_start,current_user,{},current_session
evt_20260106190917426782,2026-01-06T19:09:17.426802,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106192454484678,2026-01-06T19:24:54.484696,app_start,current_user,{},current_session
evt_20260106192507452460,2026-01-06T19:25:07.452481,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106194116964271,2026-01-06T19:41:16.964291,app_start,current_user,{},current_session
evt_20260106194135103955,2026-01-06T19:41:35.103973,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106201058872866,2026-01-06T20:10:58.872898,app_start,current_user,{},current_session
evt_20260106201110553100,2026-01-06T20:11:10.553120,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106203157029949,2026-01-06T20:31:57.029969,app_start,current_user,{},current_session
evt_20260106203212170325,2026-01-06T20:32:12.170350,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106204402098246,2026-01-06T20:44:02.098270,app_start,current_user,{},current_session
evt_20260106204410875913,2026-01-06T20:44:10.875937,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106210002685296,2026-01-06T21:00:02.685315,app_start,current_user,{},current_session
evt_20260106210014019549,2026-01-06T21:00:14.019588,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106211244842595,2026-01-06T21:12:44.842612,app_start,current_user,{},current_session
evt_20260106211254500960,2026-01-06T21:12:54.500979,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260106221922199699,2026-01-06T22:19:22.199913,app_start,current_user,{},current_session
evt_20260106231903879746,2026-01-06T23:19:03.879763,app_start,current_user,{},current_session
evt_20260106232850075016,2026-01-06T23:28:50.075038,app_start,current_user,{},current_session
evt_20260106233522434359,2026-01-06T23:35:22.434377,app_start,current_user,{},current_session
evt_20260106234116491327,2026-01-06T23:41:16.491370,app_start,current_user,{},current_session
evt_20260106234421815422,2026-01-06T23:44:21.815441,app_start,current_user,{},current_session
evt_20260107124025823782,2026-01-07T12:40:25.823821,app_start,current_user,{},current_session
evt_20260107124044417434,2026-01-07T12:40:44.417478,app_start,current_user,{},current_session
evt_20260107132515240002,2026-01-07T13:25:15.240018,app_start,current_user,{},current_session
evt_20260107132716348976,2026-01-07T13:27:16.348998,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107160131771422,2026-01-07T16:01:31.771446,app_start,current_user,{},current_session
evt_20260107161411693052,2026-01-07T16:14:11.693078,app_start,current_user,{},current_session
evt_20260107183812704092,2026-01-07T18:38:12.704118,app_start,current_user,{},current_session
evt_20260107184327657260,2026-01-07T18:43:27.657280,app_start,current_user,{},current_session
evt_20260107184346250010,2026-01-07T18:43:46.250031,app_start,current_user,{},current_session
